area;year_inv;storage_tech;energy_capacity_investment_max;energy_capacity_investment_min;power_capacity_investment_max;power_capacity_investment_min
BG;2040;salt_cavern;1983096.0707776125;0.0;504.03225;0.0
CH;2040;salt_cavern;0.0;0.0;0.0;0.0
CY;2040;salt_cavern;0.0;0.0;0.0;0.0
CZ;2040;salt_cavern;5945588.677784986;0.0;1702.9569583333332;0.0
DE;2040;salt_cavern;18976000.0;0.0;13666.666666666666;0.0
DK;2040;salt_cavern;230000.0;0.0;1200.0;0.0
EE;2040;salt_cavern;459648.27879293216;0.0;186.82791666666665;0.0
ES;2040;salt_cavern;575000.0;0.0;2958.3333333333335;0.0
FI;2040;salt_cavern;2767645.088321126;0.0;1126.3888749999999;0.0
FR;2040;salt_cavern;2315699.8719539037;0.0;1666.6666666666667;0.0
GR;2040;salt_cavern;1900000.0;0.0;1458.3333333333333;0.0
HR;2040;salt_cavern;1193171.0414055348;0.0;509.4085833333334;0.0
HU;2040;salt_cavern;3442722.5351773016;0.0;1260.7526666666665;0.0
IE;2040;salt_cavern;482756.2797095066;0.0;312.5;0.0
IT;2040;salt_cavern;5180000.0;0.0;2005.01425;0.0
LT;2040;salt_cavern;798733.074334666;0.0;336.11108333333334;0.0
LU;2040;salt_cavern;0.0;0.0;0.0;0.0
LV;2040;salt_cavern;2074441.6874358975;0.0;375.0;0.0
MD;2040;salt_cavern;0.0;0.0;0.0;0.0
ME;2040;salt_cavern;0.0;0.0;0.0;0.0
MK;2040;salt_cavern;0.0;0.0;0.0;0.0
MT;2040;salt_cavern;0.0;0.0;0.0;0.0
NL;2040;salt_cavern;4250000.0;0.0;12000.0;0.0
NO;2040;salt_cavern;0.0;0.0;0.0;0.0
PL;2040;salt_cavern;127000.0;0.0;541.6666666666666;0.0
PT;2040;salt_cavern;118055.55554166666;0.0;106.18279166666666;0.0
RO;2040;salt_cavern;3610996.2628022567;0.0;852.1505000000001;0.0
RS;2040;salt_cavern;0.0;0.0;0.0;0.0
SE;2040;salt_cavern;300227.7039882353;0.0;801.3888749999999;0.0
SI;2040;salt_cavern;388063.7107621779;0.0;283.602125;0.0
SK;2040;salt_cavern;2452744.1207584017;0.0;1044.3548333333335;0.0
TR;2040;salt_cavern;0.0;0.0;0.0;0.0
UA;2040;salt_cavern;0.0;0.0;0.0;0.0
UK;2040;salt_cavern;2627768.4092186624;0.0;3852.1505;0.0
AL;2050;salt_cavern;0.0;0.0;0.0;0.0
AT;2050;salt_cavern;0.0;0.0;1121.2813749999998;0.0
BA;2050;salt_cavern;0.0;0.0;0.0;0.0
BE;2050;salt_cavern;4239835.856180592;0.0;0.0;0.0
BG;2050;salt_cavern;996181.4374938088;0.0;0.0;0.0
CH;2050;salt_cavern;0.0;0.0;0.0;0.0
CY;2050;salt_cavern;0.0;0.0;0.0;0.0
CZ;2050;salt_cavern;1396596.799121377;0.0;1278.2258333333339;0.0
DE;2050;salt_cavern;18548000.0;0.0;13375.000000000002;0.0
DK;2050;salt_cavern;0.0;0.0;0.0;0.0
EE;2050;salt_cavern;0.0;0.0;6.227625000000046;0.0
ES;2050;salt_cavern;0.0;0.0;307.7956666666664;0.0
FI;2050;salt_cavern;0.0;0.0;0.0;0.0
FR;2050;salt_cavern;4484300.128046096;0.0;5817.3301249999995;0.0
GR;2050;salt_cavern;580970.4229405941;0.0;0.0;0.0
HR;2050;salt_cavern;0.0;0.0;0.0;0.0
HU;2050;salt_cavern;3502241.242942525;0.0;946.2365416666669;0.0
IE;2050;salt_cavern;350387.62253086834;0.0;219.7580416666667;0.0
IT;2050;salt_cavern;4661000.0;0.0;4112.521958333333;0.0
LT;2050;salt_cavern;0.0;0.0;0.0;0.0
LU;2050;salt_cavern;0.0;0.0;0.0;0.0
LV;2050;salt_cavern;0.0;0.0;0.0;0.0
MD;2050;salt_cavern;0.0;0.0;0.0;0.0
ME;2050;salt_cavern;0.0;0.0;0.0;0.0
MK;2050;salt_cavern;0.0;0.0;0.0;0.0
MT;2050;salt_cavern;0.0;0.0;0.0;0.0
NL;2050;salt_cavern;10500000.0;0.0;5000.0;0.0
NO;2050;salt_cavern;0.0;0.0;0.0;0.0
PL;2050;salt_cavern;0.0;0.0;166.66666666666674;0.0
PT;2050;salt_cavern;681675.6273749999;0.0;439.6505416666666;0.0
RO;2050;salt_cavern;885538.9450901006;0.0;643.6828333333332;0.0
RS;2050;salt_cavern;0.0;0.0;0.0;0.0
SE;2050;salt_cavern;11954.459223529382;0.0;195.8333333333336;0.0
SI;2050;salt_cavern;32024.675174726814;0.0;16.129041666666637;0.0
SK;2050;salt_cavern;0.0;0.0;0.0;0.0
TR;2050;salt_cavern;0.0;0.0;0.0;0.0
UA;2050;salt_cavern;0.0;0.0;0.0;0.0
UK;2050;salt_cavern;512033.69054774847;0.0;1469.086041666667;0.0
